customer_id,campaign_name,accepted,sort_order
5524,Campaign 1,0,1
2174,Campaign 1,0,1
4141,Campaign 1,0,1
6182,Campaign 1,0,1
5324,Campaign 1,0,1
7446,Campaign 1,0,1
965,Campaign 1,0,1
6177,Campaign 1,0,1
4855,Campaign 1,0,1
5899,Campaign 1,0,1
387,Campaign 1,0,1
2125,Campaign 1,0,1
8180,Campaign 1,0,1
2569,Campaign 1,0,1
2114,Campaign 1,1,1
9736,Campaign 1,0,1
4939,Campaign 1,0,1
6565,Campaign 1,1,1
2278,Campaign 1,0,1
9360,Campaign 1,0,1
5376,Campaign 1,0,1
1993,Campaign 1,0,1
4047,Campaign 1,0,1
1409,Campaign 1,0,1
7892,Campaign 1,0,1
2404,Campaign 1,0,1
9422,Campaign 1,0,1
1966,Campaign 1,0,1
6864,Campaign 1,0,1
3033,Campaign 1,0,1
5710,Campaign 1,0,1
7373,Campaign 1,0,1
8755,Campaign 1,0,1
10738,Campaign 1,0,1
4339,Campaign 1,0,1
10755,Campaign 1,0,1
8595,Campaign 1,0,1
2968,Campaign 1,0,1
8601,Campaign 1,0,1
503,Campaign 1,0,1
8430,Campaign 1,0,1
2139,Campaign 1,0,1
1371,Campaign 1,0,1
9909,Campaign 1,0,1
7286,Campaign 1,0,1
6566,Campaign 1,0,1
8614,Campaign 1,0,1
4114,Campaign 1,0,1
1331,Campaign 1,0,1
2225,Campaign 1,1,1
9381,Campaign 1,0,1
6260,Campaign 1,0,1
10383,Campaign 1,0,1
7437,Campaign 1,0,1
8375,Campaign 1,0,1
6853,Campaign 1,0,1
3076,Campaign 1,0,1
1012,Campaign 1,0,1
6518,Campaign 1,0,1
4137,Campaign 1,0,1
8082,Campaign 1,0,1
1386,Campaign 1,0,1
9369,Campaign 1,1,1
4477,Campaign 1,0,1
1357,Campaign 1,0,1
1402,Campaign 1,0,1
6312,Campaign 1,0,1
8132,Campaign 1,0,1
1050,Campaign 1,0,1
5846,Campaign 1,0,1
1859,Campaign 1,0,1
7503,Campaign 1,0,1
10401,Campaign 1,0,1
1618,Campaign 1,0,1
3332,Campaign 1,0,1
2261,Campaign 1,0,1
5346,Campaign 1,0,1
4119,Campaign 1,0,1
535,Campaign 1,0,1
5268,Campaign 1,0,1
273,Campaign 1,0,1
4452,Campaign 1,1,1
8504,Campaign 1,0,1
771,Campaign 1,0,1
11178,Campaign 1,0,1
2230,Campaign 1,0,1
7516,Campaign 1,0,1
7247,Campaign 1,0,1
11100,Campaign 1,0,1
4646,Campaign 1,1,1
3037,Campaign 1,0,1
1473,Campaign 1,0,1
1016,Campaign 1,0,1
4518,Campaign 1,0,1
9370,Campaign 1,0,1
8908,Campaign 1,0,1
8373,Campaign 1,0,1
7533,Campaign 1,0,1
2683,Campaign 1,0,1
3629,Campaign 1,0,1
10991,Campaign 1,0,1
5077,Campaign 1,0,1
7431,Campaign 1,0,1
3267,Campaign 1,0,1
999,Campaign 1,0,1
9215,Campaign 1,0,1
2286,Campaign 1,0,1
1592,Campaign 1,1,1
367,Campaign 1,0,1
5234,Campaign 1,0,1
9862,Campaign 1,0,1
9805,Campaign 1,0,1
6205,Campaign 1,0,1
8442,Campaign 1,0,1
7386,Campaign 1,0,1
7215,Campaign 1,1,1
1491,Campaign 1,0,1
11071,Campaign 1,0,1
3381,Campaign 1,0,1
11051,Campaign 1,0,1
8026,Campaign 1,0,1
433,Campaign 1,0,1
9597,Campaign 1,0,1
5290,Campaign 1,0,1
1685,Campaign 1,0,1
5342,Campaign 1,0,1
9579,Campaign 1,0,1
7660,Campaign 1,0,1
1461,Campaign 1,0,1
821,Campaign 1,0,1
11084,Campaign 1,0,1
8690,Campaign 1,0,1
2937,Campaign 1,0,1
9701,Campaign 1,0,1
9949,Campaign 1,0,1
10837,Campaign 1,0,1
3120,Campaign 1,0,1
5885,Campaign 1,0,1
4050,Campaign 1,0,1
3830,Campaign 1,0,1
7987,Campaign 1,0,1
7798,Campaign 1,0,1
92,Campaign 1,0,1
7055,Campaign 1,0,1
10240,Campaign 1,0,1
3025,Campaign 1,0,1
9283,Campaign 1,0,1
9970,Campaign 1,0,1
2730,Campaign 1,0,1
2795,Campaign 1,0,1
9260,Campaign 1,0,1
8182,Campaign 1,0,1
10095,Campaign 1,0,1
8475,Campaign 1,0,1
4370,Campaign 1,0,1
10573,Campaign 1,0,1
3712,Campaign 1,0,1
6637,Campaign 1,0,1
3152,Campaign 1,0,1
5610,Campaign 1,0,1
6460,Campaign 1,0,1
1349,Campaign 1,0,1
1880,Campaign 1,0,1
641,Campaign 1,0,1
8717,Campaign 1,0,1
10314,Campaign 1,1,1
10854,Campaign 1,0,1
10492,Campaign 1,0,1
6935,Campaign 1,1,1
7698,Campaign 1,0,1
3559,Campaign 1,0,1
10562,Campaign 1,0,1
10796,Campaign 1,0,1
2563,Campaign 1,0,1
3518,Campaign 1,0,1
5823,Campaign 1,0,1
3934,Campaign 1,0,1
6982,Campaign 1,0,1
6431,Campaign 1,0,1
9733,Campaign 1,0,1
5602,Campaign 1,0,1
1324,Campaign 1,0,1
326,Campaign 1,0,1
7224,Campaign 1,0,1
6999,Campaign 1,0,1
9938,Campaign 1,0,1
6422,Campaign 1,0,1
3182,Campaign 1,0,1
7300,Campaign 1,0,1
10424,Campaign 1,0,1
8727,Campaign 1,0,1
2798,Campaign 1,1,1
1030,Campaign 1,0,1
624,Campaign 1,0,1
5176,Campaign 1,0,1
5552,Campaign 1,0,1
868,Campaign 1,0,1
380,Campaign 1,0,1
2677,Campaign 1,0,1
6521,Campaign 1,0,1
6927,Campaign 1,0,1
2877,Campaign 1,0,1
0,Campaign 1,0,1
1584,Campaign 1,0,1
7264,Campaign 1,0,1
6274,Campaign 1,0,1
1377,Campaign 1,0,1
454,Campaign 1,0,1
1755,Campaign 1,0,1
2075,Campaign 1,0,1
4785,Campaign 1,0,1
9076,Campaign 1,0,1
7079,Campaign 1,0,1
4653,Campaign 1,0,1
7375,Campaign 1,0,1
709,Campaign 1,0,1
460,Campaign 1,0,1
3726,Campaign 1,0,1
6798,Campaign 1,0,1
5341,Campaign 1,0,1
1606,Campaign 1,0,1
9617,Campaign 1,0,1
3233,Campaign 1,0,1
89,Campaign 1,0,1
2936,Campaign 1,0,1
9449,Campaign 1,0,1
7297,Campaign 1,0,1
313,Campaign 1,0,1
9940,Campaign 1,0,1
