customer_id,age,education,marital_status,income,kidhome,teenhome,total_children,has_children,dt_customer,tenure_days,recency,complain,mnt_wines,mnt_fruits,mnt_meat,mnt_fish,mnt_sweets,mnt_gold,total_spend,num_web_purchases,num_catalog_purchases,num_store_purchases,num_deals_purchases,num_web_visits_month,total_purchases,avg_spend_per_purchase,accepted_cmp1,accepted_cmp2,accepted_cmp3,accepted_cmp4,accepted_cmp5,response,total_hist_campaigns_accepted,clv_tier_num,clv_tier
11110,41,Graduation,Single,3502.0,1,0,1,1,2013-04-13,442,56,0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,0,0,0,0,14,0,0.0,0,0,0,0,0,0,0,1,Low value
5555,39,Graduation,Divorced,153924.0,0,0,0,0,2014-02-07,142,81,0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,Low value
3955,49,Graduation,Divorced,4861.0,0,0,0,0,2014-06-22,7,20,0,2.0,1.0,1.0,1.0,0.0,1.0,6.0,0,0,0,0,14,0,0.0,0,0,0,0,0,0,0,1,Low value
10104,40,Graduation,Together,33590.0,2,1,3,1,2013-11-03,238,65,0,4.0,0.0,2.0,0.0,0.0,2.0,8.0,1,0,2,1,7,4,2.0,0,0,0,0,0,0,0,1,Low value
6862,43,Graduation,Divorced,1730.0,0,0,0,0,2014-05-18,42,65,0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,0,0,0,15,20,15,0.53,0,0,0,0,0,0,0,1,Low value
5824,42,PhD,Together,34578.0,2,1,3,1,2014-04-11,79,1,0,7.0,0.0,1.0,0.0,0.0,0.0,8.0,1,0,2,1,6,4,2.0,0,0,0,0,0,0,0,1,Low value
11181,65,PhD,Married,156924.0,0,0,0,0,2013-08-29,304,85,0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,Low value
9931,51,PhD,Married,4023.0,1,1,2,1,2014-06-23,6,29,0,5.0,0.0,1.0,1.0,1.0,1.0,9.0,0,0,0,15,19,15,0.6,0,0,0,0,0,0,0,1,Low value
8566,53,PhD,Together,32583.0,1,1,2,1,2014-06-15,14,10,0,5.0,0.0,3.0,0.0,0.0,1.0,9.0,1,0,2,1,7,4,2.25,0,0,0,0,0,0,0,1,Low value
7788,31,PhD,Married,23536.0,1,0,1,1,2014-06-04,25,53,0,6.0,0.0,3.0,0.0,0.0,1.0,10.0,0,0,3,1,3,4,2.5,0,0,0,0,0,0,0,1,Low value
10492,55,Graduation,Together,38285.0,2,1,3,1,2014-06-24,5,96,0,2.0,0.0,5.0,2.0,0.0,1.0,10.0,0,0,3,1,2,4,2.5,0,0,0,0,0,0,0,1,Low value
6528,32,Master,Together,18492.0,1,0,1,1,2014-06-05,24,75,0,2.0,2.0,2.0,2.0,1.0,1.0,10.0,1,0,2,1,8,4,2.5,0,0,0,0,0,0,0,1,Low value
4298,41,PhD,Together,20427.0,1,0,1,1,2014-03-24,97,63,0,5.0,0.0,4.0,0.0,0.0,1.0,10.0,1,0,2,1,8,4,2.5,0,0,0,0,0,0,0,1,Low value
4259,28,Master,Single,19485.0,2,0,2,1,2013-09-24,278,80,0,6.0,0.0,4.0,0.0,0.0,0.0,10.0,1,0,2,1,7,4,2.5,0,0,0,0,0,0,0,1,Low value
1386,47,Graduation,Together,32474.0,1,1,2,1,2014-05-11,49,0,0,10.0,0.0,1.0,0.0,0.0,0.0,11.0,1,0,2,1,7,4,2.75,0,0,0,0,0,0,0,1,Low value
891,63,Master,Together,29298.0,1,1,2,1,2013-09-07,295,60,0,6.0,0.0,2.0,2.0,0.0,1.0,11.0,1,0,2,1,5,4,2.75,0,0,0,0,0,0,0,1,Low value
5329,65,PhD,Divorced,35946.0,1,1,2,1,2013-09-27,275,24,0,8.0,0.0,3.0,0.0,0.0,0.0,11.0,0,0,3,1,5,4,2.75,0,0,0,0,0,0,0,1,Low value
6961,40,Graduation,Married,26751.0,2,0,2,1,2014-05-22,38,26,0,1.0,1.0,5.0,0.0,3.0,1.0,11.0,1,0,2,1,8,4,2.75,0,0,0,0,0,0,0,1,Low value
